65Name,AssetType,Underlying,Source,isin,code,category, currency,googleCode
HSBC MSCI Mexico Capped ETF GBP,ETF,EQUITY,Google,IE00B3QMYK80,HMEX,Other Americas Equity,USD,LON:HMEX
HSBC MSCI Pacific ex Japan ETF GBP,ETF,EQUITY,Google,IE00B5SG8Z57,HMXJ,Asia-Pacific ex-Japan Equity,USD,LON:HMXJ
HSBC MSCI Russia Capped ETF GBP,ETF,EQUITY,Google,IE00B5LJZQ16,HRUB,Russia Equity,USD,LON:HRUB
HSBC MSCI Turkey ETF GBP,ETF,EQUITY,Google,IE00B5BRQB73,HTRY,Turkey Equity,USD,LON:HTRY
HSBC MSCI USA ETF GBP,ETF,EQUITY,Google,IE00B5WFQ436,HMUS,US Large-Cap Blend Equity,USD,LON:HMUS
HSBC MSCI World ETF GBP,ETF,EQUITY,Google,IE00B4X9L533,HMWO,Global Large-Cap Blend Equity,USD,LON:HMWO
HSBC S&P 500 ETF GBP,ETF,EQUITY,Google,IE00B5KQNG97,HSPX,US Large-Cap Blend Equity,USD,LON:HSPX
iShares $ High Yld Corp Bd USD Dist JDR GBP,ETF,BOND,Google,IE00B4PY7Y77,SHYU,USD High Yield Bond,GBP,LON:SHYU
iShares $ TIPS GBP,ETF,BOND,Google,IE00B1FZSC47,ITPS,USD Inflation-Linked Bond,USD,LON:ITPS
iShares $ Treasury Bond 1-3yr GBP,ETF,BOND,Google,IE00B14X4S71,IBTS,USD Government Bond,USD,LON:IBTS
iShares $ Treasury Bond 3-7yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN393,CU71,USD Government Bond,GBX,LON:CU71
iShares $ Treasury Bond 7-10yr GBP,ETF,BOND,Google,IE00B1FZS798,IBTM,USD Government Bond,USD,LON:IBTM
iShares $ Treasury Bond 7-10yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN518,CU01,USD Government Bond,GBX,LON:CU01
iShares ‡Corp Bond 0-5yr GBP Dist,ETF,BOND,Google,IE00B5L65R35,IS15,GBP Corporate Bond,EUR,LON:IS15
iShares ‡Corp Bond ex-Fincls GBP Dist,ETF,BOND,Google,IE00B4L60H17,ISXF,GBP Corporate Bond,EUR,LON:ISXF
iShares ‡Index-Linked Gilts GBP Dist,ETF,BOND,Google,IE00B1FZSD53,INXG,GBP Inflation-Linked Bond,GBP,LON:INXG
iShares ‡Ultrashort Bond GBP Dist,ETF,BOND,Google,IE00BCRY6441,ERNS,GBP Diversified Bond - Short Term,GBP,LON:ERNS
iShares  Aggregate Bond EUR Dist GBP,ETF,BOND,Google,IE00B3DKXQ41,SEAG,EUR Diversified Bond,GBP,LON:SEAG
iShares  Corp Bd ex-Fincls 1-5yr  Dist GBP,ETF,BOND,Google,IE00B4L5ZY03,EEX5,EUR Corporate Bond - Short Term,GBP,LON:EEX5
iShares  Corp Bond 1-5yr EUR Dist GBP,ETF,BOND,Google,IE00B4L60045,SE15,EUR Corporate Bond - Short Term,GBP,LON:SE15
iShares  Corp Bond ex-Fincls EUR Dist GBP,ETF,BOND,Google,IE00B4L5ZG21,EEXF,EUR Corporate Bond,GBP,LON:EEXF
iShares  Covered Bond EUR Dist GBP,ETF,BOND,Google,IE00B3B8Q275,SCOV,EUR Corporate Bond,GBP,LON:SCOV
iShares  Govt Bond 10-15yr EUR Dist GBP,ETF,BOND,Google,IE00B4WXJH41,IBGZ,EUR Bond - Long Term,GBP,LON:IBGZ
iShares  Govt Bond 5-7yr EUR Dist GBP,ETF,BOND,Google,IE00B4WXJG34,IBGY,EUR Government Bond,GBP,LON:IBGY
iShares  High Yield Corp Bond EUR Dist GBP,ETF,BOND,Google,IE00B66F4759,SHYG,EUR High Yield Bond,GBP,LON:SHYG
iShares  Inflation Lnkd Govt Bd EUR Acc GBP,ETF,BOND,Google,IE00B0M62X26,IBCI,EUR Inflation-Linked Bond,EUR,LON:IBCI
iShares AEX EUR Dist GBP,ETF,EQUITY,Google,IE00B0M62Y33,IAEX,Netherlands Equity,GBX,LON:IAEX
iShares Agribusiness USD Acc GBP,ETF,EQUITY,Google,IE00B6R52143,SPAG,Sector Equity Agriculture,GBX,LON:SPAG
iShares Asia Pacific Dividend GBP,ETF,EQUITY,Google,IE00B14X4T88,IAPD,Asia-Pacific inc. Japan Equity,USD,LON:IAPD
iShares Asia Property Yield GBP,ETF,PROPERTY,Google,IE00B1FZS244,IASP,Property - Indirect Asia,USD,LON:IASP
iShares BRIC 50 GBP,ETF,EQUITY,Google,IE00B1W57M07,BRIC,BRIC Equity,USD,LON:BRIC
iShares China Large Cap GBP,ETF,EQUITY,Google,IE00B02KXK85,FXC,China Equity,USD,LON:FXC
iShares Core ‡Corp Bond GBP Dist,ETF,BOND,Google,IE00B00FV011,SLXX,GBP Corporate Bond,GBP,LON:SLXX
iShares Core  Govt Bond EUR Dist GBP,ETF,BOND,Google,IE00B4WXJJ64,SEGA,EUR Government Bond,GBP,LON:SEGA
iShares Core EURO STOXX 50 EUR Acc GBP,ETF,EQUITY,Google,IE00B53L3W79,CS51,Eurozone Large-Cap Equity,GBX,LON:CS51
