Date, Open, High, Low, Close,0
2016-08-12,148.4,148.4,148.4,148.4,0
2016-08-11,148.42,148.42,148.42,148.42,0
2016-08-10,148.54,148.54,148.54,148.54,0
2016-08-09,148.17,148.17,148.17,148.17,0
2016-08-08,147.98,147.98,147.98,147.98,0
2016-08-05,146.34,146.34,146.34,146.34,0
2016-08-04,145.61,145.61,145.61,145.61,0
2016-08-03,145.21,145.21,145.21,145.21,0
2016-08-02,145.22,145.22,145.22,145.22,0
2016-08-01,145.73,145.73,145.73,145.73,0
2016-07-29,145.61,145.61,145.61,145.61,0
2016-07-28,145.84,145.84,145.84,145.84,0
2016-07-27,145.82,145.82,145.82,145.82,0
2016-07-26,145.77,145.77,145.77,145.77,0
2016-07-25,145.68,145.68,145.68,145.68,0
2016-07-22,146.76,146.76,146.76,146.76,0
2016-07-21,145.43,145.43,145.43,145.43,0
2016-07-20,145.39,145.39,145.39,145.39,0
2016-07-19,145.44,145.44,145.44,145.44,0
2016-07-18,145.53,145.53,145.53,145.53,0
2016-07-15,145.32,145.32,145.32,145.32,0
2016-07-14,146.33,146.33,146.33,146.33,0
2016-07-13,145.13,145.13,145.13,145.13,0
2016-07-12,145.72,145.72,145.72,145.72,0
2016-07-11,144.23,144.23,144.23,144.23,0
2016-07-08,143.74,143.74,143.74,143.74,0
2016-07-07,143.43,143.43,143.43,143.43,0
2016-07-06,143.5,143.5,143.5,143.5,0
2016-07-05,144.61,144.61,144.61,144.61,0
2016-07-04,144.41,144.41,144.41,144.41,0
2016-07-01,143.07,143.07,143.07,143.07,0
2016-06-30,142.12,142.12,142.12,142.12,0
2016-06-29,141.85,141.85,141.85,141.85,0
2016-06-28,141.36,141.36,141.36,141.36,0
2016-06-27,142.11,142.11,142.11,142.11,0
2016-06-24,141.96,141.96,141.96,141.96,0
2016-06-23,143.21,143.21,143.21,143.21,0
2016-06-22,143.1,143.1,143.1,143.1,0
2016-06-21,142.99,142.99,142.99,142.99,0
2016-06-20,142.57,142.57,142.57,142.57,0
2016-06-17,142.45,142.45,142.45,142.45,0
2016-06-16,142.61,142.61,142.61,142.61,0
2016-06-15,142.66,142.66,142.66,142.66,0
2016-06-14,143.03,143.03,143.03,143.03,0
2016-06-13,143.39,143.39,143.39,143.39,0
2016-06-10,143.78,143.78,143.78,143.78,0
2016-06-09,143.84,143.84,143.84,143.84,0
2016-06-08,143.62,143.62,143.62,143.62,0
2016-06-07,143.49,143.49,143.49,143.49,0
2016-06-06,143.33,143.33,143.33,143.33,0
2016-06-03,143.35,143.35,143.35,143.35,0
2016-06-02,143.3,143.3,143.3,143.3,0
2016-06-01,144.47,144.47,144.47,144.47,0
2016-05-31,144.33,144.33,144.33,144.33,0
2016-05-27,144.27,144.27,144.27,144.27,0
2016-05-26,143.07,143.07,143.07,143.07,0
2016-05-25,142.83,142.83,142.83,142.83,0
2016-05-24,142.56,142.56,142.56,142.56,0
2016-05-23,142.6,142.6,142.6,142.6,0
2016-05-20,142.42,142.42,142.42,142.42,0
2016-05-19,142.6,142.6,142.6,142.6,0
2016-05-18,142.67,142.67,142.67,142.67,0
2016-05-17,142.77,142.77,142.77,142.77,0
2016-05-16,142.76,142.76,142.76,142.76,0
2016-05-13,142.81,142.81,142.81,142.81,0
2016-05-12,142.64,142.64,142.64,142.64,0
2016-05-11,142.77,142.77,142.77,142.77,0
2016-05-10,142.66,142.66,142.66,142.66,0
2016-05-09,142.74,142.74,142.74,142.74,0
2016-05-06,142.89,142.89,142.89,142.89,0
2016-05-05,142.89,142.89,142.89,142.89,0
2016-05-04,143.07,143.07,143.07,143.07,0
2016-05-03,143.43,143.43,143.43,143.43,0
2016-04-29,144.37,144.37,144.37,144.37,0
2016-04-28,144.46,144.46,144.46,144.46,0
2016-04-27,144.3,144.3,144.3,144.3,0
2016-04-26,144.13,144.13,144.13,144.13,0
2016-04-25,143.19,143.19,143.19,143.19,0
2016-04-22,143.05,143.05,143.05,143.05,0
2016-04-21,142.57,142.57,142.57,142.57,0
