Date, Open, High, Low, Close, Volume
2016-08-17,2.95,2.95,2.95,2.95,0
2016-08-16,2.97,2.97,2.97,2.97,0
2016-08-15,2.99,2.99,2.99,2.99,0
2016-08-12,2.98,2.98,2.98,2.98,0
2016-08-11,2.97,2.97,2.97,2.97,0
2016-08-10,2.94,2.94,2.94,2.94,0
2016-08-09,2.94,2.94,2.94,2.94,0
2016-08-08,2.92,2.92,2.92,2.92,0
2016-08-05,2.9,2.9,2.9,2.9,0
2016-08-04,2.86,2.86,2.86,2.86,0
2016-08-03,2.86,2.86,2.86,2.86,0
2016-08-02,2.88,2.88,2.88,2.88,0
2016-08-01,2.88,2.88,2.88,2.88,0
2016-07-29,2.87,2.87,2.87,2.87,0
2016-07-28,2.88,2.88,2.88,2.88,0
2016-07-27,2.9,2.9,2.9,2.9,0
2016-07-26,2.89,2.89,2.89,2.89,0
2016-07-25,2.88,2.88,2.88,2.88,0
2016-07-19,2.87,2.87,2.87,2.87,0
2016-07-18,2.86,2.86,2.86,2.86,0
2016-07-15,2.83,2.83,2.83,2.83,0
2016-07-14,2.84,2.84,2.84,2.84,0
2016-07-13,2.83,2.83,2.83,2.83,0
2016-07-12,2.85,2.85,2.85,2.85,0
2016-07-11,2.88,2.88,2.88,2.88,0
2016-07-08,2.85,2.85,2.85,2.85,0
2016-07-07,2.84,2.84,2.84,2.84,0
2016-07-06,2.84,2.84,2.84,2.84,0
2016-07-05,2.81,2.81,2.81,2.81,0
2016-07-04,2.8,2.8,2.8,2.8,0
2016-07-01,2.79,2.79,2.79,2.79,0
2016-06-30,2.71,2.71,2.71,2.71,0
2016-06-29,2.68,2.68,2.68,2.68,0
2016-06-28,2.66,2.66,2.66,2.66,0
2016-06-27,2.67,2.67,2.67,2.67,0
2016-06-24,2.66,2.66,2.66,2.66,0
2016-06-23,2.5,2.5,2.5,2.5,0
2016-06-22,2.52,2.52,2.52,2.52,0
2016-06-21,2.49,2.49,2.49,2.49,0
2016-06-20,2.5,2.5,2.5,2.5,0
2016-06-17,2.53,2.53,2.53,2.53,0
2016-06-16,2.53,2.53,2.53,2.53,0
2016-06-15,2.54,2.54,2.54,2.54,0
2016-06-14,2.53,2.53,2.53,2.53,0
2016-06-13,2.56,2.56,2.56,2.56,0
2016-06-09,2.54,2.54,2.54,2.54,0
2016-06-08,2.53,2.53,2.53,2.53,0
2016-06-07,2.53,2.53,2.53,2.53,0
2016-06-06,2.55,2.55,2.55,2.55,0
2016-06-03,2.54,2.54,2.54,2.54,0
2016-06-02,2.52,2.52,2.52,2.52,0
2016-06-01,2.51,2.51,2.51,2.51,0
2016-05-31,2.5,2.5,2.5,2.5,0
2016-05-27,2.49,2.49,2.49,2.49,0
2016-05-26,2.48,2.48,2.48,2.48,0
2016-05-25,2.48,2.48,2.48,2.48,0
2016-05-24,2.46,2.46,2.46,2.46,0
2016-05-23,2.47,2.47,2.47,2.47,0
2016-05-20,2.46,2.46,2.46,2.46,0
2016-05-19,2.45,2.45,2.45,2.45,0
2016-05-18,2.48,2.48,2.48,2.48,0
2016-05-17,2.51,2.51,2.51,2.51,0
2016-05-16,2.51,2.51,2.51,2.51,0
2016-05-13,2.52,2.52,2.52,2.52,0
2016-05-12,2.52,2.52,2.52,2.52,0
2016-05-11,2.53,2.53,2.53,2.53,0
2016-05-10,2.51,2.51,2.51,2.51,0
2016-05-09,2.5,2.5,2.5,2.5,0
2016-05-06,2.47,2.47,2.47,2.47,0
2016-05-05,2.48,2.48,2.48,2.48,0
2016-05-04,2.47,2.47,2.47,2.47,0
2016-05-03,2.46,2.46,2.46,2.46,0
2016-04-29,2.46,2.46,2.46,2.46,0
2016-04-28,2.46,2.46,2.46,2.46,0
2016-04-27,2.45,2.45,2.45,2.45,0
2016-04-26,2.46,2.46,2.46,2.46,0
2016-04-25,2.48,2.48,2.48,2.48,0
2016-04-22,2.5,2.5,2.5,2.5,0
2016-04-21,2.52,2.52,2.52,2.52,0
