date,open,high,low,close,volume,,
2015-03-03,951.38,951.38,951.38,951.38,0,mandg.co.uk,
2015-03-02,954.73,954.73,954.73,954.73,0,mandg.co.uk,
2015-02-27,951.55,951.55,951.55,951.55,0,mandg.co.uk,
2015-02-26,948.89,948.89,948.89,948.89,0,mandg.co.uk,
2015-02-25,948.67,948.67,948.67,948.67,0,mandg.co.uk,
2015-02-24,949.83,949.83,949.83,949.83,0,mandg.co.uk,
2015-02-23,954.23,954.23,954.23,954.23,0,mandg.co.uk,
2015-02-20,951.12,951.12,951.12,951.12,0,mandg.co.uk,
2015-02-19,949.67,949.67,949.67,949.67,0,mandg.co.uk,
2015-02-18,950.55,950.55,950.55,950.55,0,mandg.co.uk,
2015-02-17,956.32,956.32,956.32,956.32,0,mandg.co.uk,
2015-02-16,957.2,957.2,957.2,957.2,0,mandg.co.uk,
2015-02-13,961.12,961.12,961.12,961.12,0,mandg.co.uk,
2015-02-12,962.31,962.31,962.31,962.31,0,mandg.co.uk,
2015-02-11,965.34,965.34,965.34,965.34,0,mandg.co.uk,
2015-02-10,968.47,968.47,968.47,968.47,0,mandg.co.uk,
2015-02-09,972.6,972.6,972.6,972.6,0,mandg.co.uk,
2015-02-06,974.28,974.28,974.28,974.28,0,mandg.co.uk,
2015-02-05,978.7,978.7,978.7,978.7,0,mandg.co.uk,
2015-02-04,980.8,980.8,980.8,980.8,0,mandg.co.uk,
2015-02-03,991.45,991.45,991.45,991.45,0,mandg.co.uk,
2015-02-02,995.02,995.02,995.02,995.02,0,mandg.co.uk,
2015-01-30,987.95,987.95,987.95,987.95,0,mandg.co.uk,
2015-01-29,981.25,981.25,981.25,981.25,0,mandg.co.uk,
2015-01-28,972.42,972.42,972.42,972.42,0,mandg.co.uk,
2015-01-27,979.29,979.29,979.29,979.29,0,mandg.co.uk,
2015-01-26,981.02,981.02,981.02,981.02,0,mandg.co.uk,
2015-01-23,979.92,979.92,979.92,979.92,0,mandg.co.uk,
2015-01-22,967.59,967.59,967.59,967.59,0,mandg.co.uk,
2015-01-21,978.24,978.24,978.24,978.24,0,mandg.co.uk,
2015-01-20,974.71,974.71,974.71,974.71,0,mandg.co.uk,
2015-01-19,974.48,974.48,974.48,974.48,0,mandg.co.uk,
2015-01-16,968.11,968.11,968.11,968.11,0,mandg.co.uk,
2015-01-15,965.44,965.44,965.44,965.44,0,mandg.co.uk,
2015-01-14,964.14,964.14,964.14,964.14,0,mandg.co.uk,
2015-01-13,963.4,963.4,963.4,963.4,0,mandg.co.uk,
2015-01-12,958.41,958.41,958.41,958.41,0,mandg.co.uk,
2015-01-09,957.57,957.57,957.57,957.57,0,mandg.co.uk,
2015-01-08,961.25,961.25,961.25,961.25,0,mandg.co.uk,
2015-01-07,961.77,961.77,961.77,961.77,0,mandg.co.uk,
2015-01-06,957.51,957.51,957.51,957.51,0,mandg.co.uk,
2015-01-05,946.4,946.4,946.4,946.4,0,mandg.co.uk,
2015-01-02,937.16,937.16,937.16,937.16,0,mandg.co.uk,
2014-12-31,927.98,927.98,927.98,927.98,0,mandg.co.uk,
2014-12-30,930.68,930.68,930.68,930.68,0,mandg.co.uk,
2014-12-29,926.63,926.63,926.63,926.63,0,mandg.co.uk,
2014-12-24,926.62,926.62,926.62,926.62,0,mandg.co.uk,
2014-12-23,926.75,926.75,926.75,926.75,0,mandg.co.uk,
2014-12-22,923.96,923.96,923.96,923.96,0,mandg.co.uk,
2014-12-19,925.01,925.01,925.01,925.01,0,mandg.co.uk,
2014-12-18,927.73,927.73,927.73,927.73,0,mandg.co.uk,
2014-12-17,930.03,930.03,930.03,930.03,0,mandg.co.uk,
2014-12-16,936.82,936.82,936.82,936.82,0,mandg.co.uk,
2014-12-15,926.68,926.68,926.68,926.68,0,mandg.co.uk,
2014-12-12,922.46,922.46,922.46,922.46,0,mandg.co.uk,
2014-12-11,923.35,923.35,923.35,923.35,0,mandg.co.uk,
2014-12-10,918.79,918.79,918.79,918.79,0,mandg.co.uk,
2014-12-09,922.46,922.46,922.46,922.46,0,mandg.co.uk,
2014-12-08,919.35,919.35,919.35,919.35,0,mandg.co.uk,
2014-12-05,916.64,916.64,916.64,916.64,0,mandg.co.uk,
2014-12-04,915.55,915.55,915.55,915.55,0,mandg.co.uk,
2014-12-03,919.18,919.18,919.18,919.18,0,mandg.co.uk,
2014-12-02,920.12,920.12,920.12,920.12,0,mandg.co.uk,
2014-12-01,920.95,920.95,920.95,920.95,0,mandg.co.uk,
2014-11-28,917.64,917.64,917.64,917.64,0,mandg.co.uk,
2014-11-27,912.52,912.52,912.52,912.52,0,mandg.co.uk,
2014-11-26,913.19,913.19,913.19,913.19,0,mandg.co.uk,
2014-11-25,915.57,915.57,915.57,915.57,0,mandg.co.uk,
2014-11-24,912.34,912.34,912.34,912.34,0,mandg.co.uk,
2014-11-21,914.08,914.08,914.08,914.08,0,mandg.co.uk,
2014-11-20,919,919,919,919,0,mandg.co.uk,
2014-11-19,920.52,920.52,920.52,920.52,0,mandg.co.uk,
2014-11-18,921.69,921.69,921.69,921.69,0,mandg.co.uk,
2014-11-17,924.83,924.83,924.83,924.83,0,mandg.co.uk,
2014-11-14,922.66,922.66,922.66,922.66,0,mandg.co.uk,
2014-11-13,916.89,916.89,916.89,916.89,0,mandg.co.uk,
2014-11-12,913.31,913.31,913.31,913.31,0,mandg.co.uk,
2014-11-11,910.75,910.75,910.75,910.75,0,mandg.co.uk,
2014-11-10,912.04,912.04,912.04,912.04,0,mandg.co.uk,
2014-11-07,913.14,913.14,913.14,913.14,0,mandg.co.uk,
2014-11-06,908.69,908.69,908.69,908.69,0,mandg.co.uk,
2014-11-05,909.93,909.93,909.93,909.93,0,mandg.co.uk,
2014-11-04,905.85,905.85,905.85,905.85,0,mandg.co.uk,
2014-11-03,903.79,903.79,903.79,903.79,0,mandg.co.uk,
2014-10-31,904.81,904.81,904.81,904.81,0,mandg.co.uk,
2014-10-30,910.62,910.62,910.62,910.62,0,mandg.co.uk,
2014-10-29,907.75,907.75,907.75,907.75,0,mandg.co.uk,
