date,open,high,low,close,volume,
2019-11-03,227.6,227.6,227.6,227.6,0,Fidelity
2019-11-04,230.6,230.6,230.6,230.6,0,Fidelity
2019-11-05,231.8,231.8,231.8,231.8,0,Fidelity
2019-11-06,231.7,231.7,231.7,231.7,0,Fidelity
2019-11-07,233.2,233.2,233.2,233.2,0,Fidelity
2019-11-08,233.7,233.7,233.7,233.7,0,Fidelity
2019-11-09,233.7,233.7,233.7,233.7,0,Fidelity
2019-11-10,233.7,233.7,233.7,233.7,0,Fidelity
2019-11-11,232.6,232.6,232.6,232.6,0,Fidelity
2019-11-12,233,233,233,233,0,Fidelity
2019-11-13,232.4,232.4,232.4,232.4,0,Fidelity
2019-11-14,232.3,232.3,232.3,232.3,0,Fidelity
2019-11-15,232.1,232.1,232.1,232.1,0,Fidelity
2019-11-16,232.1,232.1,232.1,232.1,0,Fidelity
2019-11-17,232.1,232.1,232.1,232.1,0,Fidelity
2019-11-18,232.7,232.7,232.7,232.7,0,Fidelity
2019-11-19,233.4,233.4,233.4,233.4,0,Fidelity
2019-11-20,233,233,233,233,0,Fidelity
2019-11-21,231.2,231.2,231.2,231.2,0,Fidelity
2019-11-22,232.4,232.4,232.4,232.4,0,Fidelity
2019-11-23,232.4,232.4,232.4,232.4,0,Fidelity
2019-11-24,232.4,232.4,232.4,232.4,0,Fidelity
2019-11-25,233.3,233.3,233.3,233.3,0,Fidelity
2019-11-26,234.8,234.8,234.8,234.8,0,Fidelity
2019-11-27,234.9,234.9,234.9,234.9,0,Fidelity
2019-11-28,234.7,234.7,234.7,234.7,0,Fidelity
2019-11-29,234.8,234.8,234.8,234.8,0,Fidelity
2019-11-30,234.8,234.8,234.8,234.8,0,Fidelity
2019-12-01,234.8,234.8,234.8,234.8,0,Fidelity
2019-12-02,233.8,233.8,233.8,233.8,0,Fidelity
2019-12-03,231,231,231,231,0,Fidelity
2019-12-04,228.9,228.9,228.9,228.9,0,Fidelity
2019-12-05,228.6,228.6,228.6,228.6,0,Fidelity
2019-12-06,229.3,229.3,229.3,229.3,0,Fidelity
2019-12-07,229.3,229.3,229.3,229.3,0,Fidelity
2019-12-08,229.3,229.3,229.3,229.3,0,Fidelity
2019-12-09,229.9,229.9,229.9,229.9,0,Fidelity
2019-12-10,229.3,229.3,229.3,229.3,0,Fidelity
2019-12-11,229.7,229.7,229.7,229.7,0,Fidelity
2019-12-12,230.7,230.7,230.7,230.7,0,Fidelity
2019-12-13,230.2,230.2,230.2,230.2,0,Fidelity
2019-12-14,230.2,230.2,230.2,230.2,0,Fidelity
2019-12-15,230.2,230.2,230.2,230.2,0,Fidelity
2019-12-16,230.7,230.7,230.7,230.7,0,Fidelity
2019-12-17,234.6,234.6,234.6,234.6,0,Fidelity
2019-12-18,236.1,236.1,236.1,236.1,0,Fidelity
2019-12-19,236.4,236.4,236.4,236.4,0,Fidelity
2019-12-20,238.6,238.6,238.6,238.6,0,Fidelity
2019-12-21,238.6,238.6,238.6,238.6,0,Fidelity
2019-12-22,238.6,238.6,238.6,238.6,0,Fidelity
2019-12-23,240.1,240.1,240.1,240.1,0,Fidelity
2019-12-24,240.8,240.8,240.8,240.8,0,Fidelity
2019-12-25,240.8,240.8,240.8,240.8,0,Fidelity
2019-12-26,240.8,240.8,240.8,240.8,0,Fidelity
2019-12-27,239.9,239.9,239.9,239.9,0,Fidelity
2019-12-28,239.9,239.9,239.9,239.9,0,Fidelity
2019-12-29,239.9,239.9,239.9,239.9,0,Fidelity
2019-12-30,238.9,238.9,238.9,238.9,0,Fidelity
2019-12-31,236.3,236.3,236.3,236.3,0,Fidelity
2020-01-01,236.3,236.3,236.3,236.3,0,Fidelity
2020-01-02,238,238,238,238,0,Fidelity
2020-01-03,238.5,238.5,238.5,238.5,0,Fidelity
2020-01-04,238.5,238.5,238.5,238.5,0,Fidelity
2020-01-05,238.5,238.5,238.5,238.5,0,Fidelity
2020-01-06,236.6,236.6,236.6,236.6,0,Fidelity
2020-01-07,238.9,238.9,238.9,238.9,0,Fidelity
2020-01-08,238.4,238.4,238.4,238.4,0,Fidelity
2020-01-09,242.1,242.1,242.1,242.1,0,Fidelity
2020-01-10,242,242,242,242,0,Fidelity
2020-01-11,242,242,242,242,0,Fidelity
2020-01-12,242,242,242,242,0,Fidelity
2020-01-13,243.1,243.1,243.1,243.1,0,Fidelity
2020-01-14,244.2,244.2,244.2,244.2,0,Fidelity
2020-01-15,243.6,243.6,243.6,243.6,0,Fidelity
2020-01-16,243,243,243,243,0,Fidelity
2020-01-17,245.3,245.3,245.3,245.3,0,Fidelity
2020-01-18,245.3,245.3,245.3,245.3,0,Fidelity
2020-01-19,245.3,245.3,245.3,245.3,0,Fidelity
2020-01-20,246.2,246.2,246.2,246.2,0,Fidelity
2020-01-21,244.6,244.6,244.6,244.6,0,Fidelity
2020-01-22,243.8,243.8,243.8,243.8,0,Fidelity
2020-01-23,242.6,242.6,242.6,242.6,0,Fidelity
2020-01-24,243.8,243.8,243.8,243.8,0,Fidelity
2020-01-25,243.8,243.8,243.8,243.8,0,Fidelity
2020-01-26,243.8,243.8,243.8,243.8,0,Fidelity
2020-01-27,238.6,238.6,238.6,238.6,0,Fidelity
2020-01-28,239.4,239.4,239.4,239.4,0,Fidelity
2020-01-29,241.3,241.3,241.3,241.3,0,Fidelity
2020-01-30,238,238,238,238,0,Fidelity
2020-01-31,237.9,237.9,237.9,237.9,0,Fidelity
2020-02-01,237.9,237.9,237.9,237.9,0,Fidelity
2020-02-02,237.9,237.9,237.9,237.9,0,Fidelity
2020-02-03,236.7,236.7,236.7,236.7,0,Fidelity
2020-02-04,241.1,241.1,241.1,241.1,0,Fidelity
2020-02-05,243,243,243,243,0,Fidelity
2020-02-06,245.9,245.9,245.9,245.9,0,Fidelity
2020-02-07,246.2,246.2,246.2,246.2,0,Fidelity
2020-02-08,246.2,246.2,246.2,246.2,0,Fidelity
2020-02-09,246.2,246.2,246.2,246.2,0,Fidelity
2020-02-10,245,245,245,245,0,Fidelity
2020-02-11,246.9,246.9,246.9,246.9,0,Fidelity
2020-02-12,246.4,246.4,246.4,246.4,0,Fidelity
2020-02-13,245.9,245.9,245.9,245.9,0,Fidelity
2020-02-14,245.8,245.8,245.8,245.8,0,Fidelity
2020-02-15,245.8,245.8,245.8,245.8,0,Fidelity
2020-02-16,245.8,245.8,245.8,245.8,0,Fidelity
2020-02-17,246.5,246.5,246.5,246.5,0,Fidelity
2020-02-18,244.9,244.9,244.9,244.9,0,Fidelity
2020-02-19,246.2,246.2,246.2,246.2,0,Fidelity
2020-02-20,248.3,248.3,248.3,248.3,0,Fidelity
2020-02-21,246,246,246,246,0,Fidelity
2020-02-22,246,246,246,246,0,Fidelity
2020-02-23,246,246,246,246,0,Fidelity
2020-02-24,238.5,238.5,238.5,238.5,0,Fidelity
2020-02-25,236.3,236.3,236.3,236.3,0,Fidelity
2020-02-26,231.2,231.2,231.2,231.2,0,Fidelity
2020-02-27,229.4,229.4,229.4,229.4,0,Fidelity
2020-02-28,219,219,219,219,0,Fidelity
2020-02-29,219,219,219,219,0,Fidelity
2020-03-01,219,219,219,219,0,Fidelity
2020-03-02,218.7,218.7,218.7,218.7,0,Fidelity
2020-03-03,229.7,229.7,229.7,229.7,0,Fidelity
2020-03-04,228.7,228.7,228.7,228.7,0,Fidelity
2020-03-05,226.7,226.7,226.7,226.7,0,Fidelity
2020-03-06,217.9,217.9,217.9,217.9,0,Fidelity
2020-03-07,217.9,217.9,217.9,217.9,0,Fidelity
2020-03-08,217.9,217.9,217.9,217.9,0,Fidelity
2020-03-09,218,218,218,218,0,Fidelity
2020-03-10,209.5,209.5,209.5,209.5,0,Fidelity
2020-03-11,206.2,206.2,206.2,206.2,0,Fidelity
2020-03-12,194.4,194.4,194.4,194.4,0,Fidelity
2020-03-13,197.6,197.6,197.6,197.6,0,Fidelity
2020-03-14,197.6,197.6,197.6,197.6,0,Fidelity
2020-03-15,197.6,197.6,197.6,197.6,0,Fidelity
2020-03-16,183.7,183.7,183.7,183.7,0,Fidelity
2020-03-17,185.9,185.9,185.9,185.9,0,Fidelity
2020-03-18,184.7,184.7,184.7,184.7,0,Fidelity
2020-03-19,188.2,188.2,188.2,188.2,0,Fidelity
2020-03-20,193.5,193.5,193.5,193.5,0,Fidelity
2020-03-21,193.5,193.5,193.5,193.5,0,Fidelity
2020-03-22,193.5,193.5,193.5,193.5,0,Fidelity
2020-03-23,184.6,184.6,184.6,184.6,0,Fidelity
2020-03-24,190.3,190.3,190.3,190.3,0,Fidelity
2020-03-25,195.7,195.7,195.7,195.7,0,Fidelity
2020-03-26,194.7,194.7,194.7,194.7,0,Fidelity
2020-03-27,197.8,197.8,197.8,197.8,0,Fidelity
2020-03-28,197.8,197.8,197.8,197.8,0,Fidelity
2020-03-29,197.8,197.8,197.8,197.8,0,Fidelity
2020-03-30,193.7,193.7,193.7,193.7,0,Fidelity
2020-03-31,198.8,198.8,198.8,198.8,0,Fidelity
2020-04-01,191.5,191.5,191.5,191.5,0,Fidelity
2020-04-02,190.8,190.8,190.8,190.8,0,Fidelity
2020-04-03,192.1,192.1,192.1,192.1,0,Fidelity
2020-04-04,192.1,192.1,192.1,192.1,0,Fidelity
2020-04-05,192.1,192.1,192.1,192.1,0,Fidelity
2020-04-06,197.2,197.2,197.2,197.2,0,Fidelity
2020-04-07,208.4,208.4,208.4,208.4,0,Fidelity
2020-04-08,202.2,202.2,202.2,202.2,0,Fidelity
2020-04-09,206.1,206.1,206.1,206.1,0,Fidelity
2020-04-10,206.1,206.1,206.1,206.1,0,Fidelity
2020-04-11,206.1,206.1,206.1,206.1,0,Fidelity
2020-04-12,206.1,206.1,206.1,206.1,0,Fidelity
2020-04-13,206.1,206.1,206.1,206.1,0,Fidelity
2020-04-14,207.8,207.8,207.8,207.8,0,Fidelity
2020-04-15,208.1,208.1,208.1,208.1,0,Fidelity
2020-04-16,206.4,206.4,206.4,206.4,0,Fidelity
2020-04-17,212.9,212.9,212.9,212.9,0,Fidelity
2020-04-18,212.9,212.9,212.9,212.9,0,Fidelity
2020-04-19,212.9,212.9,212.9,212.9,0,Fidelity
2020-04-20,210.3,210.3,210.3,210.3,0,Fidelity
2020-04-21,209.3,209.3,209.3,209.3,0,Fidelity
2020-04-22,207.9,207.9,207.9,207.9,0,Fidelity
2020-04-23,209.7,209.7,209.7,209.7,0,Fidelity
2020-04-24,210.5,210.5,210.5,210.5,0,Fidelity
2020-04-25,210.5,210.5,210.5,210.5,0,Fidelity
2020-04-26,210.5,210.5,210.5,210.5,0,Fidelity
2020-04-27,212.4,212.4,212.4,212.4,0,Fidelity
2020-04-28,215.2,215.2,215.2,215.2,0,Fidelity
2020-04-29,216.9,216.9,216.9,216.9,0,Fidelity
2020-04-30,218,218,218,218,0,Fidelity
2020-05-01,211.7,211.7,211.7,211.7,0,Fidelity
2020-05-02,211.7,211.7,211.7,211.7,0,Fidelity
2020-05-03,211.7,211.7,211.7,211.7,0,Fidelity
2020-05-04,209.5,209.5,209.5,209.5,0,Fidelity
2020-05-05,212.7,212.7,212.7,212.7,0,Fidelity
2020-05-06,215.4,215.4,215.4,215.4,0,Fidelity
2020-05-07,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-08,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-09,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-10,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-11,219.5,219.5,219.5,219.5,0,Fidelity
2020-05-12,219.4,219.4,219.4,219.4,0,Fidelity
2020-05-13,217.3,217.3,217.3,217.3,0,Fidelity
2020-05-14,214.2,214.2,214.2,214.2,0,Fidelity
2020-05-15,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-16,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-17,215.2,215.2,215.2,215.2,0,Fidelity
2020-05-18,220.3,220.3,220.3,220.3,0,Fidelity
2020-05-19,222.8,222.8,222.8,222.8,0,Fidelity
2020-05-20,223.1,223.1,223.1,223.1,0,Fidelity
2020-05-21,223.5,223.5,223.5,223.5,0,Fidelity
2020-05-22,222,222,222,222,0,Fidelity
2020-05-23,222,222,222,222,0,Fidelity
2020-05-24,222,222,222,222,0,Fidelity
2020-05-25,222,222,222,222,0,Fidelity
2020-05-26,226.8,226.8,226.8,226.8,0,Fidelity
2020-05-27,228.1,228.1,228.1,228.1,0,Fidelity
2020-05-28,229.9,229.9,229.9,229.9,0,Fidelity
2020-05-29,228.4,228.4,228.4,228.4,0,Fidelity
2020-05-30,228.4,228.4,228.4,228.4,0,Fidelity
2020-05-31,228.4,228.4,228.4,228.4,0,Fidelity
2020-06-01,228.7,228.7,228.7,228.7,0,Fidelity
2020-06-02,229.2,229.2,229.2,229.2,0,Fidelity
2020-06-03,230,230,230,230,0,Fidelity
2020-06-04,233.3,233.3,233.3,233.3,0,Fidelity
2020-06-05,233.5,233.5,233.5,233.5,0,Fidelity
2020-06-06,233.5,233.5,233.5,233.5,0,Fidelity
2020-06-07,233.5,233.5,233.5,233.5,0,Fidelity
2020-06-08,236.6,236.6,236.6,236.6,0,Fidelity
2020-06-09,236.3,236.3,236.3,236.3,0,Fidelity
2020-06-10,234.7,234.7,234.7,234.7,0,Fidelity
2020-06-11,231,231,231,231,0,Fidelity
2020-06-12,228.7,228.7,228.7,228.7,0,Fidelity
2020-06-13,228.7,228.7,228.7,228.7,0,Fidelity
