Ticker,Cleaned symbols
Lyxor MSCI World ETF D-USD A/I GBP,WLDL
Lyxor MSCI World Financials TR ETF C USD GBP,FING
Lyxor MSCI World Hlth Care TR ETF C USD GBP,HLTG
Lyxor MSCI World Indtls TR ETF C USD GBP,INUG
Lyxor MSCI World Info Tech TR ETF C USD GBP,TNOG
Lyxor MSCI World Materials TR ETF C USD GBP,MATG
Lyxor MSCI World Telecom Svcs TR ETF C$ GBP,TELG
Lyxor MSCI World Utilities TR ETF C USD GBP,UTIG
Lyxor Nasdaq-100 ETF D-USD A/I GBP,UST
Lyxor Russell 2000 ETF C-USD GBP,RU2K
Lyxor Russia (DJ Russia GDR) ETF D-GBP,RUSL
Lyxor SG European Qual Inc NTR ETF D EUR GBP,SGQG
Lyxor SG Global Qual Inc NTR ETF C GBP,SGQL
Lyxor SG Global Qual Inc NTR ETF D GBP,SGQP
Lyxor South Afr (FTSEJSE Top40) ETF CEUR GBP,AFSL
Lyxor Stoxx Europe 600 (DR) ETF C EUR GBP,MEUD
Lyxor Thailand (SET50 Net TR) ETF C-USD GBP,THA
Lyxor Turkey DJ Turkey Titans 20 ETF A/I GBP,TURL
Lyxor World Water ETF D-EUR A/I GBP,WATL
Market Access DAXglobal?Asia ETF GBP,ASDX
Market Access DAXglobal?BRIC ETF GBP,BRDX
Market Access NYSE Arca GoldBugs ETF GBP,GOLB
Ossiam FTSE 100 Minimum Var ETF 1C GBP,UKMV
Ossiam iSTOXX?EurMiniVar NR ETF 1C GBP,LEMV
Ossiam STOXX?Eur600 EqWg NR ETF 1C GBP,L6EW
PIMCO ST HY Corp Bd Sour ETF Inc GBP,SSHY
PIMCO Sterling Short Maturity Source ETF,QUID
PowerShares Dynamic US Market ETF GBP,PSWC
PowerShares EQQQ Nasdaq-100 ETF GBP,EQQQ
PowerShares FTSE RAFI All-World 3000 ETF GBP,PSRW
PowerShares FTSE RAFI Emerging Mkts ETF GBP,PSRM
PowerShares FTSE RAFI Europe ETF GBP,PSRE
PowerShares FTSE RAFI Europe Md-Sm ETF GBP,PSES
PowerShares FTSE RAFI UK 100 ETF,PSRU
PowerShares FTSE RAFI US 1000 ETF GBP,PSRF
Source Cnsmr Stapl S&P US Sel Sect ETF GBP,XLPP
Source FTSE 100 ETF,S100
Source FTSE 250 ETF,S250
Source LGIM Commodity Composite ETF GBP,LGCF
Source Mstar US Enrgy Infra MLP ETF B GBP,MLPP
Source Physical Gold P-ETC GBP,SGLP
Source Technology S&P US Select Sect ETF GBP,XLKQ
SPDR?Barclays 0-3 Year US Corp Bd ETF GBP,SUSD
SPDR?Barclays 0-5 Year Stlg Corp Bd ETF,SUKC
SPDR?Barclays 1-5 Year Gilt ETF,GLTS
SPDR?Barclays Emerging Mkts Lcl Bd ETF GBP,EMDL
SPDR?Barclays Sterling Corporate Bd ETF,UKCO
SPDR?Dow Jones Global Real Estate ETF GBP,GBRE
SPDR?FTSE UK All Share ETF,FTAL
SPDR?MSCI EM Asia ETF GBP,EMAS
SPDR?MSCI EM Europe ETF GBP,EMEO
SPDR?MSCI EM Latin America ETF GBP,EMLA
SPDR?MSCI Emerging Markets SmallCap ETF GBP,EMSM
SPDR?S&P 500 ETF GBP,SPX5
SPDR?S&P 500 Low Volatility ETF GBP,USLV
SPDR?S&P Emerging Markets Dividend ETF GBP,EMDV
SPDR?S&P Euro Dividend Aristocrats ETF GBP,EUDV
SPDR?S&P Global Div Aristocrats ETF GBP,GBDV
SPDR?S&P Pan Asia Div Aristocrats ETF GBP,PADV
SPDR?S&P UK Dividend Aristocrats ETF,UKDV
SPDR?S&P US Dividend Aristocrats ETF GBP,USDV
UBS ETF Barcl Cap US 1-3 Trea Bd USD A GBP,UB74
UBS ETF Barcl Cap US 7-10 Trea Bd USD A GBP,UB82
UBS ETF CMCI Composite SF USD A acc GBP,UC15
UBS ETF EURO STOXX 50 EUR A dis GBP,UB01
UBS ETF FTSE 100 GBP A dis GBP,UB03
UBS ETF FTSE 100 SF GBP A acc GBP,UC17
UBS ETF Markit iBoxx  Germ 1-3 A dis GBP,UB89
UBS ETF Markit iBoxx  LiqCorp EUR A dis GBP,UB99
UBS ETF MSCI Canada CAD A dis GBP,UB23
UBS ETF MSCI Canada SF CAD A acc GBP,UC24
UBS ETF MSCI Emerging Mkts SF USD A acc GBP,UC27
UBS ETF MSCI Emerging Mkts USD A dis GBP,UB32
UBS ETF MSCI EMU EUR A dis GBP,UB06
UBS ETF MSCI EMU H GBP A acc GBP,UC60
UBS ETF MSCI EMU H GBP A dis GBP,UC59
UBS ETF MSCI EMU SF EUR A acc GBP,UC30
UBS ETF MSCI EMU Small Cap EUR A dis GBP,UB69
UBS ETF MSCI EMU SRI EUR A dis GBP,UB39
UBS ETF MSCI EMU Value EUR A dis GBP,UB17
UBS ETF MSCI Europe EUR A dis GBP,UB12
UBS ETF MSCI Japan H GBP A acc,UC62
UBS ETF MSCI Japan H GBP A dis,UC61
UBS ETF MSCI Japan JPY A dis GBP,UB02
UBS ETF MSCI Japan SF JPY A acc GBP,UC32
UBS ETF MSCI Pacific ex Jpn USD A dis GBP,UB20
UBS ETF MSCI Pacific SRI USD A dis GBP,UB45
UBS ETF MSCI United Kingdom GBP A acc GBP,UC64
UBS ETF MSCI United Kingdom GBP A dis GBP,UC63
UBS ETF MSCI USA H GBP A acc GBP,UC74
UBS ETF MSCI USA H GBP A dis GBP,UC73
